name,x,y,z,group,rank
atlas.FP r,26.15585218,52.14318378,8.25781733,0,0
atlas.FP l,-24.72350164,52.95596920,7.50812227,0,1
atlas.IC r,37.38468660,2.54967133,-0.17378021,0,2
atlas.IC l,-36.39425244,1.18679564,0.08236289,0,3
atlas.SFG r,14.66583310,18.42534963,56.95836807,0,4
atlas.SFG l,-14.06542178,18.68008319,56.16199471,0,5
atlas.MidFG r,39.11812950,18.62399746,42.78576283,0,6
atlas.MidFG l,-38.07063594,18.43926590,42.06419121,0,7
atlas.IFG tri r,51.86739433,27.76335346,7.70738504,0,8
atlas.IFG tri l,-49.71002501,28.49797960,8.66942467,0,9
atlas.IFG oper r,52.21275436,15.41751453,16.20239826,0,10
atlas.IFG oper l,-50.64278768,14.51701783,15.39432739,0,11
atlas.PreCG r,34.50456521,-10.79592194,50.13351419,0,12
atlas.PreCG l,-33.72482422,-11.82651962,49.36989680,0,13
atlas.TP r,40.63669918,12.95686791,-29.62114421,0,14
atlas.TP l,-40.49289577,11.10221610,-29.60465486,0,15
atlas.aSTG r,57.50133452,-0.76334520,-10.16592527,0,16
atlas.aSTG l,-56.17233662,-3.90644584,-7.97000895,0,17
atlas.pSTG r,61.34069304,-23.98589390,1.57344373,0,18
atlas.pSTG l,-62.28850325,-29.16919740,3.79640533,0,19
atlas.aMTG r,57.88912197,-1.52202577,-24.50584357,0,20
atlas.aMTG l,-57.46777317,-4.20525588,-22.13914246,0,21
atlas.pMTG r,61.07506629,-22.52454969,-12.14985828,0,22
atlas.pMTG l,-60.90641565,-27.35880095,-10.99670993,0,23
atlas.toMTG r,58.18120733,-49.22239081,1.59748564,0,24
atlas.toMTG l,-57.63985911,-52.99985324,0.82418550,0,25
atlas.aITG r,46.22887061,-2.40987285,-41.10583396,0,26
atlas.aITG l,-48.14201402,-4.97454814,-39.19107340,0,27
atlas.pITG r,53.42195698,-23.46366737,-28.13352571,0,28
atlas.pITG l,-53.44317202,-28.45720970,-25.98756311,0,29
atlas.toITG r,54.14167857,-49.87783595,-16.73076313,0,30
atlas.toITG l,-51.81781305,-53.44356261,-16.53315697,0,31
atlas.PostCG r,37.62464294,-26.37493245,52.63761291,0,32
atlas.PostCG l,-38.41085324,-27.85986348,51.66716724,0,33
atlas.SPL r,29.21016949,-47.77703390,58.90220339,0,34
atlas.SPL l,-29.30111588,-49.46892704,57.46858369,0,35
atlas.aSMG r,58.41554322,-27.06344171,37.81221253,0,36
atlas.aSMG l,-56.80042519,-32.75139516,37.19465852,0,37
atlas.pSMG r,55.20992099,-40.36583658,33.60466047,0,38
atlas.pSMG l,-54.88327027,-46.02946910,33.24194473,0,39
atlas.AG r,51.93327068,-51.80254614,32.35586124,0,40
atlas.AG l,-50.35264098,-55.70489921,29.76282215,0,41
atlas.sLOC r,32.96906037,-71.11907857,38.92460090,0,42
atlas.sLOC l,-31.96086475,-72.89364272,37.97183772,0,43
atlas.iLOC r,45.53747715,-73.94515539,-1.57751371,0,44
atlas.iLOC l,-45.12883995,-75.54474116,-1.90029807,0,45
atlas.ICC r,11.66429281,-73.57568731,8.31682676,0,46
atlas.ICC l,-10.19761630,-75.02556709,8.04190696,0,47
atlas.MedFC,0.20741406,43.18804515,-18.51269882,0,48
atlas.SMA r,5.92133891,-2.78476987,57.54075314,0,49
atlas.SMA L,-5.37041789,-2.77895894,56.07734604,0,50
atlas.SubCalC,-0.07427115,20.53563906,-14.83261279,0,51
atlas.PaCiG r,6.55490110,36.56764835,22.69432967,0,52
atlas.PaCiG l,-6.20792532,36.65342729,20.78923767,0,53
atlas.AC,0.80277298,18.29370562,24.34508732,0,54
atlas.PC,0.78484502,-36.62174953,29.97508841,0,55
atlas.Precuneous,0.95788957,-59.28791837,38.02699444,0,56
atlas.Cuneal r,8.84917972,-78.55219985,27.88683818,0,57
atlas.Cuneal l,-8.21870605,-80.28762307,27.14299109,0,58
atlas.FOrb r,29.11395129,23.07066013,-16.23143128,0,59
atlas.FOrb l,-29.54284237,23.66228394,-16.57261043,0,60
atlas.aPaHC r,22.35858011,-8.05144267,-30.25607441,0,61
atlas.aPaHC l,-21.86796075,-9.10878840,-30.30140785,0,62
atlas.pPaHC r,22.90122982,-30.53420446,-16.75903151,0,63
atlas.pPaHC l,-21.89599483,-32.42603359,-16.88565891,0,64
atlas.LG r,13.56545584,-63.49145299,-4.95776353,0,65
atlas.LG l,-12.27157401,-65.67000646,-5.43851002,0,66
atlas.aTFusC r,31.05641688,-2.80706288,-42.34065461,0,67
atlas.aTFusC l,-31.88251260,-4.43388910,-41.90306320,0,68
atlas.pTFusC r,36.27906977,-24.14443084,-27.82951565,0,69
atlas.pTFusC l,-35.96667146,-29.53124551,-25.07987358,0,70
atlas.TOFusC r,35.05149175,-50.06088142,-16.63849765,0,71
atlas.TOFusC l,-33.49844841,-53.68095423,-15.97439876,0,72
atlas.OFusG r,27.25879221,-75.39862687,-12.30769231,0,73
atlas.OFusG l,-26.57573301,-76.57343602,-13.58829888,0,74
atlas.FO r,41.11868484,18.62670409,4.91379310,0,75
atlas.FO l,-39.70344094,18.32600213,4.52642781,0,76
atlas.CO r,49.43331001,-5.77074878,11.13198041,0,77
atlas.CO l,-47.99013832,-8.62512807,11.81314037,0,78
atlas.PO r,48.90256410,-27.64102564,21.54731935,0,79
atlas.PO l,-48.35625983,-31.85412452,20.46122724,0,80
atlas.PP r,48.00100067,-3.58472315,-7.18645764,0,81
atlas.PP l,-46.61085973,-5.97180647,-7.33762617,0,82
atlas.HG r,46.11156095,-17.40440846,6.96761134,0,83
atlas.HG l,-45.19664938,-20.32149980,7.19226167,0,84
atlas.PT r,54.96693047,-25.07150933,12.06642171,0,85
atlas.PT l,-52.69937695,-29.70605251,10.78905207,0,86
atlas.SCC r,8.21570248,-74.48925620,14.08181818,0,87
atlas.SCC l,-8.36255572,-73.25111441,14.79643388,0,88
atlas.OP r,17.72875074,-95.13461158,8.31038743,0,89
atlas.OP l,-16.85335589,-96.50141004,6.73763865,0,90
atlas.Thalamus r,10.84362180,-18.32125415,6.62434069,0,91
atlas.Thalamus l,-9.99313607,-19.22391244,6.29487061,0,92
atlas.Caudate r,13.30156062,10.01080432,10.49051621,0,93
atlas.Caudate l,-12.78549849,8.97699280,9.73739252,0,94
atlas.Putamen r,25.49574896,1.77600866,0.30344721,0,95
atlas.Putamen l,-24.90149125,0.48264984,0.33954689,0,96
atlas.Pallidum r,19.85048905,-4.00512343,-1.18910107,0,97
